Date,temperature_2m_min,temperature_2m_max,Day Temp (°C),Humidity (%),DayIndex,LR_Pred
2023-06-01,7.1,15.9,12.2,72.83333333333333,0,12.349831049447324
2023-06-02,3.1,13.8,8.6,77.04166666666667,1,11.433899194350737
2023-06-03,8.5,15.0,11.1,90.08333333333333,2,8.564868272811854
2023-06-04,5.9,17.3,10.8,92.58333333333333,3,8.026658406980054
2023-06-05,8.2,19.6,13.5,79.54166666666667,4,10.924797370313254
2023-06-06,14.3,16.9,15.3,78.625,5,11.142031483011028
2023-06-07,14.9,17.7,16.0,83.29166666666667,6,10.124759582014136
2023-06-08,12.7,16.1,14.4,76.58333333333333,7,11.622563365633987
2023-06-09,8.9,14.1,11.4,68.04166666666667,8,13.52572733285507
2023-06-10,8.4,15.5,11.5,76.0,9,11.780649647665054
2023-06-11,8.1,15.8,11.7,78.54166666666667,10,11.233227050387772
2023-06-12,7.7,14.0,10.6,79.08333333333333,11,11.128015562493658
2023-06-13,8.8,13.5,10.8,76.41666666666667,12,11.732184395901694
2023-06-14,8.4,14.0,10.5,77.33333333333333,13,11.54405832499824
2023-06-15,9.7,15.5,12.3,78.0,14,11.411208642767672
2023-06-16,9.6,15.3,12.4,72.41666666666667,15,12.660268677359491
2023-06-17,9.5,14.4,11.8,66.16666666666667,16,14.056732415079034
2023-06-18,6.8,13.6,10.4,72.83333333333333,17,12.59724940469898
2023-06-19,4.6,11.3,8.4,75.25,18,12.077465001758146
2023-06-20,1.9,11.3,6.0,83.91666666666667,19,10.175770881994925
2023-06-21,2.0,10.9,5.9,83.66666666666667,20,10.245601291564977
2023-06-22,5.5,13.1,8.6,75.20833333333333,21,12.130339795895097
2023-06-23,6.5,10.0,8.4,85.79166666666667,22,9.80486002963968
2023-06-24,6.8,13.6,9.9,80.70833333333333,23,10.94336728688571
2023-06-25,7.5,12.2,9.8,68.58333333333333,24,13.638826158418297
2023-06-26,8.3,14.4,11.2,74.54166666666667,25,12.335959582611444
2023-06-27,6.2,14.2,9.9,81.08333333333333,26,10.90411476656784
2023-06-28,8.0,12.0,9.7,84.16666666666667,27,10.236926660499282
2023-06-29,6.1,12.0,9.3,75.70833333333333,28,12.121665164829402
2023-06-30,10.5,13.9,11.7,76.54166666666667,29,11.951964556816904
2023-07-01,9.5,12.1,10.7,83.75,30,10.372716037645574
2023-07-02,8.5,11.9,10.1,89.625,31,9.088274924729692
2023-07-03,6.0,14.3,9.4,88.79166666666667,32,9.287083574536496
2023-07-04,7.7,12.3,10.3,90.25,33,8.979191994841766
2023-07-05,8.4,14.1,11.0,82.91666666666667,34,10.615186750143852
2023-07-06,9.2,14.0,10.8,76.20833333333333,35,12.112990533763707
2023-07-07,9.2,14.4,11.3,74.16666666666667,36,12.578968395489504
2023-07-08,9.6,13.4,11.0,67.33333333333333,37,14.104410373445806
2023-07-09,10.3,15.1,12.5,74.54166666666667,38,12.525161854274476
2023-07-10,9.1,16.3,12.4,71.54166666666667,39,13.203032539246376
2023-07-11,10.6,16.7,13.3,75.875,40,12.259462489813345
2023-07-12,9.0,16.7,11.9,76.16666666666667,41,12.209527390592122
2023-07-13,9.1,14.8,11.6,69.5,42,13.698118442766491
2023-07-14,10.1,13.7,11.7,70.08333333333333,43,13.583694223426892
2023-07-15,6.4,12.6,9.9,79.70833333333333,44,11.470107280417572
2023-07-16,2.8,14.4,8.2,81.25,45,11.143790237831873
2023-07-17,3.5,15.0,8.4,80.91666666666667,46,11.232046110292888
2023-07-18,7.1,12.6,9.2,74.75,47,12.610084385121468
2023-07-19,3.2,12.4,7.9,75.91666666666667,48,12.366681925545109
2023-07-20,7.1,12.1,8.9,73.91666666666667,49,12.823447055825431
2023-07-21,5.8,12.8,8.8,79.91666666666667,50,11.511367748573097
2023-07-22,3.4,14.4,8.4,79.375,51,11.64568727826153
2023-07-23,6.3,12.2,9.4,85.25,52,10.36124616534564
2023-07-24,6.7,13.5,9.6,84.16666666666667,53,10.615331203825342
2023-07-25,5.4,14.3,9.5,85.54166666666667,54,10.325865087021572
2023-07-26,3.6,14.4,8.5,83.875,55,10.708928365738032
2023-07-27,5.8,15.5,10.8,77.79166666666667,56,12.068541177675645
2023-07-28,11.2,17.4,13.7,73.625,57,13.004368343121058
2023-07-29,9.5,17.6,12.7,78.08333333333333,58,12.033160099351583
2023-07-30,8.8,16.6,12.2,74.75,59,12.784732635887341
2023-07-31,8.1,15.7,11.8,74.79166666666667,60,12.790073925339014
2023-08-01,7.7,14.3,11.5,79.875,61,11.680674709887299
2023-08-02,5.0,16.1,10.3,80.29166666666667,62,11.603101416329626
2023-08-03,9.8,17.7,13.8,70.83333333333333,63,13.70894547535133
2023-08-04,10.2,16.5,14.4,72.125,64,13.437904821438526
2023-08-05,6.7,12.8,10.2,78.04166666666667,65,12.144250977077157
2023-08-06,6.7,13.0,9.3,91.5,66,9.183092741083438
2023-08-07,5.1,13.0,8.3,90.83333333333333,67,9.345050465108322
2023-08-08,4.0,12.8,7.5,93.33333333333333,68,8.80684059927652
2023-08-09,5.7,16.8,11.8,72.79166666666667,69,13.363271222796582
2023-08-10,8.6,14.1,11.6,76.0,70,12.668444922391583
2023-08-11,6.6,15.3,10.8,73.375,71,13.26340102435414
2023-08-12,9.8,15.1,11.4,78.08333333333333,72,12.23691639191177
2023-08-13,3.7,12.3,8.4,84.91666666666667,73,10.740582455749777
2023-08-14,2.2,11.5,7.2,83.75,74,11.013092957120449
2023-08-15,2.7,12.4,7.6,80.16666666666667,75,11.819941882329104
