ds,yhat
2024-06-02,10.095601499797882
2024-06-03,10.291455350705402
2024-06-04,10.498847642532155
2024-06-05,9.635905403547934
2024-06-06,9.631076003455554
2024-06-07,9.716867423099686
2024-06-08,9.49888445894907
2024-06-09,9.391889441902627
2024-06-10,9.587743292810782
2024-06-11,9.795135584636958
2024-06-12,8.9321933456547
2024-06-13,8.927363945560726
2024-06-14,9.013155365204282
2024-06-15,8.795172401052925
2024-06-16,8.688177384008814
2024-06-17,8.884031234916147
2024-06-18,9.091423526743272
2024-06-19,8.228481287759537
2024-06-20,8.22365188766653
2024-06-21,8.309443307309689
2024-06-22,8.091460343158493
2024-06-23,7.984465326112572
2024-06-24,8.18031917702152
2024-06-25,8.387711468848076
2024-06-26,7.524769229864076
2024-06-27,7.519939829771077
2024-06-28,7.605731249415112
2024-06-29,7.387748285263555
2024-06-30,7.280753268218037
2024-07-01,7.476607119127323
